post_id,dirigente_id,dirigente_nombre,plataforma,content,published_at
3948,1,Alejandro Piña Medina,FACEBOOK,"La extorsión no se puede normalizar.

Hoy hay un marco de impunidad: más del 88% de los delitos no se denuncian, muchas veces por miedo. Ahí está fallando el Estado: en proteger a quien denuncia y en castigar a quien cobra piso.
Por eso, el indicador real no es cuántas denuncias hay, sino cuánto dinero están pagando los negocios para poder trabajar.",2026-04-15T18:40:47.171000+00:00
4484,1,Alejandro Piña Medina,INSTAGRAM,"En la Comisión Permanente Ampliada de Movimiento Ciudadano quedó claro que el cambio se construye con la suma de esfuerzos y visión de futuro.
Abrimos camino para demostrar que hay otra forma de hacer política: cercana, valiente y con rumbo.",2026-04-24T01:26:46+00:00
890,2,Rafael Solano Pérez,TWITTER,"RT @echoesofworld: Tokyo, Japan https://t.co/Qyn77aeN01

[QT] Tokyo, Japan https://t.co/Qyn77aeN01",2026-03-09T00:37:59+00:00
4515,2,Rafael Solano Pérez,TWITTER,Un triste llamado de atención para entender que el mundial en México es una prueba superior de Seguridad.,2026-04-21T02:54:33+00:00
875,2,Rafael Solano Pérez,TWITTER,"En una parte del díscurso de Monreal hace una velada crítica al proceso presidencial. Recuerda el consenso del día de ayer sobre el Auditor de la Federación “ese consenso lo construimos aquí”. 

Es reclamo, el costo de la Comisión fue alto.",2026-03-11T23:19:10+00:00
889,2,Rafael Solano Pérez,TWITTER,"RT @Imagen_Oax: Impactante avistamiento: ballena albina aparece en costas de Loreto, BCS 🐋✨

Habitantes y turistas de Loreto, Baja Californ…

[QT] Impactante avistamiento: ballena albina aparece en costas de Loreto, BCS 🐋✨

Habitantes y turistas de Loreto, Baja California Sur, reportaron la presencia de una ballena albina, un ejemplar extremadamente raro que llamó la atención por su inusual coloración y tamaño imponente. https://t.co/mTJ4zbae6k",2026-03-09T00:40:18+00:00
918,2,Rafael Solano Pérez,TWITTER,"Movimiento Ciudadano pone el punto sobre las ies. Este tema de la delincuencia organizada es central en la actualidad.

[QT] 🟠🗳️  MC propone blindaje para las elecciones 

“¿Cómo puede ser que maten a un candidato y elijamos a otro como si nada hubiera pasado?”, cuestionó @AlvarezMaynez al presentar la propuesta de @MovCiudadanoMX y señaló que las elecciones deberían anularse cuando ocurra el https://t.co/4BpxOpn2rF",2026-03-05T15:42:38+00:00
892,2,Rafael Solano Pérez,TWITTER,"RT @InvictosSomos: ¡¡NOSOTROS VIMOS JUGAR A LOS REYES DE LA LIGA MX!!

✅ José Saturnino Cardozo: 258 goles oficiales con Toluca.
✅ André-Pi…

[QT] ¡¡NOSOTROS VIMOS JUGAR A LOS REYES DE LA LIGA MX!!

✅ José Saturnino Cardozo: 258 goles oficiales con Toluca.
✅ André-Pierre Gignac: 219 goles oficiales con Tigres.

✅ André-Pierre Gignac: 5 títulos de la Liga MX.
✅ José Saturnino Cardozo: 4 títulos de la Liga MX.

✅ José https://t.co/kiI6qnlTGu",2026-03-08T23:34:15+00:00
891,2,Rafael Solano Pérez,TWITTER,"La de visitante está genial.

[QT] ¿Local, visitante o alternativo? 🇲🇽 💚🤍🖤

Los que serán, de acuerdo con Footy Headlines, los 3️⃣ jerseys de México para la Copa Mundial. 🏆🌎

Elige tu favorito. 🗳️ https://t.co/kW70lzTLOr",2026-03-09T00:27:40+00:00
4523,2,Rafael Solano Pérez,TWITTER,Pues ojalá que les vaya bien. En verdad que han vivido unas condiciones terribles. Que tengan ese espacio que tanto les hace falta.,2026-05-03T02:02:04+00:00
898,2,Rafael Solano Pérez,TWITTER,"Uno de los mejores jugadores que ha llegado a México. Ya es leyenda.

De los delanteros más matones, como el gran José Saturnino Cardozo.

[QT] 🤯🇫🇷 GOL DE ANDRÉ PIERRE GIGNAC PARA GANAR EL CLASICO REGIO DE ULTIMO MINUTO! 

40 AÑOS DE EDAD, LEYENDA. 🔥

 https://t.co/PWMxA2Lqiv",2026-03-08T06:13:30+00:00
882,2,Rafael Solano Pérez,TWITTER,"RT @Helena_Monzon: Nos conmueve y nos interpela, a mi familia y a mi, el ver esos 🌻🌻🌻 acompañando a tantas mujeres en resistencia, exigiend…

[QT] Nos conmueve y nos interpela, a mi familia y a mi, el ver esos 🌻🌻🌻 acompañando a tantas mujeres en resistencia, exigiendo JUSTICIA por y para las MUJERES en MX.

Igualmente reconocer al colectivo de madres vs la violencia vicaria; una causa que Ceci acompañó en vida como",2026-03-09T14:15:31+00:00
903,2,Rafael Solano Pérez,TWITTER,"RT @ceeymx: El 66% de los hogares en pobreza laboral en México no lograron rebasar esta condición durante el último año.

Jalisco, Michoacá…

[QT] El 66% de los hogares en pobreza laboral en México no lograron rebasar esta condición durante el último año.

Jalisco, Michoacán, Morelos, Nuevo León, Oaxaca y Zacatecas, los casos más críticos en 2024-2025.

Conoce más en el reporte ""Persistencia en pobreza laboral"" https://t.co/wrJZUTpMNi",2026-03-07T14:04:49+00:00
833,2,Rafael Solano Pérez,TWITTER,"RT @SkyNews: BREAKING: Viktor Orban has conceded the Hungarian election, ending 16 years in power.

Sky's Ivor Bennett reports live from Bu…

[QT] BREAKING: Viktor Orban has conceded the Hungarian election, ending 16 years in power.

Sky's Ivor Bennett reports live from Budapest on the 'historic' result

https://t.co/ZPo6jlKFMe
 
📺 Sky 501, Virgin 602 https://t.co/gjDK07duyT",2026-04-12T22:50:49+00:00
856,2,Rafael Solano Pérez,TWITTER,"RT @ernesto_mendez: El #Derrame de #Chapopote y #Petróleo que impacta las costas del Golfo de México es, además de una emergencia socioambi…

[QT] El #Derrame de #Chapopote y #Petróleo que impacta las costas del Golfo de México es, además de una emergencia socioambiental, una crisis de transparencia y de rendición de cuentas, que vulnera el derecho de las comunidades costeras a un medio ambiente sano, advirtió @OceanaMexico https://t.co/CWvvtBY529",2026-04-01T04:15:19+00:00
878,2,Rafael Solano Pérez,TWITTER,"RT @Juan_OrtizMX: 🗳️📌 QUIÉN ES QUIÉN EN LA VOTACIÓN DE LA REFORMA ELECTORAL

Total de votos: 494
✅ 259 votos a favor
❌ 234 votos en contra…

[QT] 🗳️📌 QUIÉN ES QUIÉN EN LA VOTACIÓN DE LA REFORMA ELECTORAL

Total de votos: 494
✅ 259 votos a favor
❌ 234 votos en contra
🟨 1 voto en abstención

Así votaron:

🟫Morena voto a favor en su mayoría.

Pero 3 votaron en contra:
- Giselle Arellano Ábila
- Alejandra Chedraui Peralta https://t.co/vtchR6chSX",2026-03-11T20:48:42+00:00
919,2,Rafael Solano Pérez,TWITTER,"“No es cafecito después de comer, es Ciencia”

El PAN entendiendo las bases del Sistema Electoral Mexicano actual. Más de una década tuvo que pasar. https://t.co/mnWOZziUuI",2026-03-05T15:36:33+00:00
852,2,Rafael Solano Pérez,TWITTER,"La banda celebrando gol de Congo #MéxicoMágico… una de las cosas en que los mexicanos son extraordinarios es en ser anfitriones.

[QT] Gol del Congo en el tiempo extra y se destapa la locura en Guadalajara. https://t.co/mWhFyIfbup",2026-04-01T05:05:54+00:00
868,2,Rafael Solano Pérez,TWITTER,"Y así cayeron los años de la democracia mexicana. Se le pegó tanto a la piñata que se rompió. 

De la base de datos de V-Dem. Hoy lo que existe en México es una autocracia competitiva. Eventualmente vendrá el regreso del apetito democrático. https://t.co/tpVtVQCFgK",2026-03-22T19:09:48+00:00
912,2,Rafael Solano Pérez,TWITTER,"Si creo que las organizaciones ciudadanas deben exigir a todos los partidos políticos que al menos presenten una iniciativa electoral. 

¡Vaya! es que para eso se les paga. 

Ya con debate pues cada quien su postura.",2026-03-05T17:32:10+00:00
4516,2,Rafael Solano Pérez,TWITTER,Lo más razonable. De lo contrario será una elección complicada para la autoridad.,2026-04-22T14:49:12+00:00
883,2,Rafael Solano Pérez,TWITTER,"En el modelo AMLO de “coordinador/candidato” Morena, la campaña inició hace 1 año. 

Sin territorio, hoy tienen menos oportunidades para competir, en unos meses habrá “candidatos” que recorrerán cada sección otro año, antes de campaña.

Darán 2/3/4 vueltas a territorio completo

[QT] 🗳️📌 ¡YA INICIÓ EL PROCESO ELECTORAL 2027!

Este sábado, Morena puso las fechas para elegir a sus coordinadores territoriales.

Eufemismo para no decir candidatos.

¿Estás listo para ver bardas, espectaculares y revistas con caras y letras en guinda? 👇

https://t.co/IMBtx0WtGQ",2026-03-09T14:01:05+00:00
